code,Genus,Species,Life form,Nativity status,Longevity,Size,Regen. Strategy,Functional Type,Habit,LifeForm,NatStatus,Longevity,Size,RegenStrat,FXGroup
LASE,Lactuca,serriola,forb,invasive,annual,,,forb.invasive.annual..,AFO,FO,INV,A,,,FO.INV.A
TRDU,Tragopogon,dubius,forb,invasive,annual,,,forb.invasive.annual..,AFO,FO,INV,A,,,FO.INV.A
BRJA,Bromus,japonicus,graminoid,invasive,annual,,,graminoid.invasive.annual..,AGR,GR,INV,A,,,GR.INV.A
BRTE,Bromus,tectorum,graminoid,invasive,annual,,,graminoid.invasive.annual..,AGR,GR,INV,A,,,GR.INV.A
POBU,Poa,bulbosa,graminoid,invasive,perennial,Small,,graminoid.invasive.perennial.Small.,PGR,GR,INV,P,SM,,GR.INV.P.SM.
AMMEM2,Amsinckia,menziesii,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
AMRE2,Amsinckia,retorsa,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
AMSIN,Amsinckia,sp.,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
COLI2,Collomia,linearis,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
COPA3,Collinsia,parviflora,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
CORA5,Cordylanthus,ramosus,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
GARA2,Gayophytum,ramosissimum,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
MEAL6,Mentzelia,albicaulis,forb,native,annual,,,forb.native.annual..,AFO,FO,NAT,A,,,FO.NAT.A
ACMI2,Achillea,millefolium,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
AGGL,Agoseris,glauca,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
AGGR,Agoseris ,grandiflora,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ALAC4,Allium,acuminatum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ANLU2,Antennaria,luzuloides,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ARLU,Artemisia,ludoviciana,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ASTRA,Astragalus,sp.,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
BASA3,Balsamorhiza,sagittata,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CAEU,Calochortus,Calochortus eurycarpus S. Watson,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CASTI2,Castilleja,sp,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CHDO,Chaenactis,douglasii,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CIUN,Cirsium,undulatum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CRAC2,Crepis,acuminata,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CRAT,Crepis,atribarba,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
CROC,Crepis,occidentalis,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERAP,Erigeron ,aphanactis ,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERCA8,Eriogonum,caespitosum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERHE2,Eriogonum,heracleoides,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
EROV,Eriogonum,ovalifolium,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERPU2,Erigeron,pumilus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERUM,Eriogonum,umbellatum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERUM,Eriogonum,umbellatum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ERWR,Eriogonum,wrightii,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
HEUN,Helianthella,uniflora,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
HYCA4,Hydrophyllum ,capitatum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
IPAGA3,Ipomopsis,aggregata,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
IRIS,IRIS,SP,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
IVAX,Iva,axillaris,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LERE7,Lewisia,rediviva,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LILO,Liparis,loeselii ,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LIRU4,Lithospermum,ruderale,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LOCO4,Lomatium,cous,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LODI,Lomatium,dissectum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LONU2,Lomatium,nudicaule,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LOTR,Lomatium,triternatum,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LUAR6,Lupinus,arbustus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LUCA,Lupinus,caudatus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LUPIN,Lupinus,sp.,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
LUSE4,Lupinus,sericeus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
MADIA,Madia,sp.,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
MAGR3,Machaeranthera ,grindelioides ,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
MINU,Microseris ,nutans ,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
NEST5,Nestotus,stenophyllus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
PEHU,Penstemon,humilis ,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
PENST,Penstemon ,sp.,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
PHHE2,Phacelia,heterophylla,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
PHLO2,Phlox,longifolia,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
SEIN2,Senecio,integerrimus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
VIPUV2,Viola,purpurea,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ZIPA2,Zigadenus,paniculatus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ACNE9,Achnatherum,nelsonii,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
ACTH7,Achnatherum,thurberianum,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
ELEL5,Elymus,elymoides,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
FEID,Festuca,idahoensis,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
KOMA,Koeleria,macrantha,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
LECI4,Leymus,cinereus,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
MEBU,Melica,bulbosa,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
PSSP6,Pseudoroegneria,spicata,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
CADO2,Carex,douglassai,graminoid,native,perennial,Small,,graminoid.native.perennial.Small.,PGR,GR,NAT,P,SM,,GR.NAT.P.SM.
EQLA,Equisetum,laevigatum,graminoid,native,perennial,Small,,graminoid.native.perennial.Small.,PGR,GR,NAT,P,SM,,GR.NAT.P.SM.
POSE,Poa,secunda,graminoid,native,perennial,Small,,graminoid.native.perennial.Small.,PGR,GR,NAT,P,SM,,GR.NAT.P.SM.
ARAR8,Artemisia,arbuscula,shrub,native,perennial,,Seed,shrub.native.perennial..Seed,PSH,SH,NAT,P,,SE,SH.NAT.P.SE
ARTRV,Artemisia,tridentata,shrub,native,perennial,,Seed,shrub.native.perennial..Seed,PSH,SH,NAT,P,,SE,SH.NAT.P.SE
CHVI8,Chrysothamnus,viscidiflorus,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
ERNA10,Ericameria,nauseosa,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
PUTR2,Purshia,tridentata,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
TECA2,Tetradymia,canescens,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
IRIS,Iris,sp.,forb,unk,perennial,,,forb.unk.perennial..,PFO,FO,Unk,P,,,FO.Unk.P
DF,,,forb,,,,,,FO,FO,,,,,
DG,,,graminoid,,,,,,GR,GR,,,,,
DS,,,shrub,,,,,,SH,SH,,,,,
UNK100,,,,,,,,,,,,,,,
WL,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,
