UNIQUE_PLOT_ID,TRT_COMBO,Rep,Trt,Plot,BGROUND,ACMI2,ACNE9,ACTH7,AGGL,ALAC4,AMSIN,ANLU2,ARAR8,ARSO2,ARTRV,ASTRA,BASA3,BRJA,BRTE,CADO2,CATE26,CHDO,CHJU,CHVI8,CIAR4,CIUN,CRAC2,CROC,DAUN,ELEL5,ERBL,ERC16,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LAOC3,LASE,LECI4,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,MADIA,MADIA2,MEBU,NABR,NOTR2,PHHA,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,SIAL2,TETRA3,TRDU,UNK1,UNK5,UnkCrepis,UnkPoa,UnkSage,UnkThistle,ZIPA2
C01,CONTROL,1,1,1301,18,0,0,18,5,5,0,0,0,0,5,0,0,18,18,0,0,0,0,0,0,0,5,0,0,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,18,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
C02,CONTROL,2,1,1302,18,0,0,5,0,5,0,0,0,0,0,18,0,5,38,0,0,5,18,0,0,0,0,0,0,0,0,38,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,38,5,0,0,5,0,18,0,0,0,0,0,0,0
C07,CONTROL,3,1,1303,18,0,0,5,5,5,5,0,0,0,5,0,0,38,5,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,5,5,38,5,0,0,0,0,5,5,0,5,0,0,0,0
C08,CONTROL,4,1,1304,18,0,0,0,0,0,0,0,0,0,38,0,0,5,38,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,5,38,18,0,0,0,0,0,0,0,0,0,0,0,0
C03,CONTROL,5,1,1306,38,0,0,0,18,5,5,0,0,0,5,0,0,18,18,0,0,5,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,18,5,0,0,0,0,18,5,38,5,5,0,0,0,0,0,0,5,0,0,0,0
C09,CONTROL,6,1,1307,38,0,0,0,18,0,0,0,0,0,0,5,0,5,38,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,5,0,5,0,0,18,0,38,18,0,0,5,0,18,5,0,0,0,0,0,0
C10,CONTROL,7,1,1308,18,0,0,0,5,5,18,0,0,0,0,5,0,5,38,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,38,0,5,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,18,5,0,0,0,0,18,0,0,0,0,0,0,0
C04,CONTROL,8,1,1309,18,0,0,0,0,0,0,0,0,0,63,5,0,5,63,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,38,0,0,0,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
C05,CONTROL,9,1,1310,18,0,0,5,0,5,0,18,0,0,0,5,5,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,63,0,0,0,0,0,5,0,0,0,0,0,0,0
C11,CONTROL,10,1,1311,18,0,0,5,0,5,0,18,0,0,0,0,0,38,18,0,0,5,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,38,5,0,0,0,0,18,0,0,0,0,0,0,0
C12,CONTROL,11,1,1305,38,0,0,5,0,0,0,0,63,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,18,0,5,0,0,18,0,0,0,0,0,0,5,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
C06,CONTROL,12,1,404A,18,0,0,5,0,5,0,0,0,0,0,18,18,5,18,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,5,0,18,18,0,0,0,0,18,0,0,5,0,0,0,0
H01,HEL_INDAZ_1,1,2,501,5,0,0,0,0,5,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
H02,HEL_INDAZ_1,2,2,601,5,0,18,0,5,5,0,0,0,0,5,5,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0
H03,HEL_INDAZ_1,3,2,701,18,0,0,0,0,5,0,0,0,0,38,5,5,5,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,5,0,0,0,5,0,18,5,5,0,0,0,5,5,0,0,0,0,0,0
H04,HEL_INDAZ_1,4,2,801,5,0,0,5,0,5,0,0,0,0,18,0,5,5,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,18,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,5,0,0,5,0,0,0,0
H05,HEL_INDAZ_IMAZ_1,1,3,505,18,0,0,0,0,0,0,0,38,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,5,0,0,5,0,0,0,0
H06,HEL_INDAZ_IMAZ_1,2,3,605,38,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0
H07,HEL_INDAZ_IMAZ_1,3,3,705,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,18,0,0,0,5,0,0,0,0,0,0,0
H08,HEL_INDAZ_IMAZ_1,4,3,805,5,0,5,5,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,5,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,5,0,18,0,5,0,0,0,0,0,0,5,0,0,0,0
H09,HEL_INDAZ_1,1,4,502,5,0,0,0,0,0,0,0,0,18,38,0,0,18,5,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,5,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
H10,HEL_INDAZ_1,2,4,602,18,0,0,0,0,0,0,0,0,5,5,0,0,18,18,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
H11,HEL_INDAZ_1,3,4,702,38,0,0,0,0,5,0,0,0,5,63,0,0,5,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
H12,HEL_INDAZ_1,4,4,802,18,0,0,0,0,5,5,0,0,5,5,5,18,38,18,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,18,5,0,0,0,0,18,5,0,0,0,0,0,0
H13,HEL_INDAZ_IMAZ_1,1,5,506,18,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H14,HEL_INDAZ_IMAZ_1,2,5,606,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0
H15,HEL_INDAZ_IMAZ_2,3,5,706,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0
H16,HEL_INDAZ_IMAZ_2,4,5,806,38,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0
H17,HEL_INDAZ_2,1,6,503,5,5,0,0,0,0,0,18,5,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
H18,HEL_INDAZ_2,2,6,603,5,5,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,38,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
H19,HEL_INDAZ_2,3,6,703,18,0,0,0,5,0,0,18,0,0,0,0,0,5,0,18,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
H20,HEL_INDAZ_2,4,6,803,18,5,0,0,18,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
H21,HEL_INDAZ_IMAZ_3,1,7,507,38,0,0,0,0,0,0,0,18,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,18,0,0,0,0,0,0,0,0,0,0,5
H22,HEL_INDAZ_IMAZ_3,2,7,607,5,0,5,0,5,0,0,0,0,0,63,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
H23,HEL_INDAZ_IMAZ_3,3,7,707,18,0,5,0,5,0,0,0,0,0,63,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0
H24,HEL_INDAZ_IMAZ_3,4,7,807,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,5,5,0,5,0,0,0,0
H27,HEL_INDAZ_4,1,8,504,5,0,0,0,0,0,0,0,18,18,0,0,0,18,0,38,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
H28,HEL_INDAZ_4,2,8,604,18,5,0,0,5,0,0,0,0,5,18,5,0,5,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,18,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0
H25,HEL_INDAZ_3,3,8,704,18,0,0,0,5,18,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,18,0,0,5,0,0,0,0
H26,HEL_INDAZ_3,4,8,804,18,0,5,0,0,5,0,0,0,0,0,5,18,0,5,0,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,5,5,0,5,0,0,0,0
H31,HEL_INDAZ_IMAZ_4,1,9,508,63,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
H32,HEL_INDAZ_IMAZ_4,2,9,608,38,0,18,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,18,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0
H29,HEL_INDAZ_IMAZ_3,3,9,708,NA,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
H30,HEL_INDAZ_IMAZ_3,4,9,808,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,18,5,0,0,0
A01,AIR_INDAZ_1,1,10,101,5,5,0,0,0,0,0,38,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,83,0,5,0,0,0,0,0,0,0,0,0,5,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
